lead_code,call_type,disposition,duration,start_time,transcript_json
LDSMFG_169928,BOT,BUSY,62,2025-01-03,{}
LDSMFG_118994,BOT,NO_ANSWER,153,2025-01-18,{}
LDSMFG_196829,BOT,NO_ANSWER,220,2025-01-12,{}
LDSMFG_138730,BOT,NO_ANSWER,196,2025-01-04,{}
LDSMFG_175894,BOT,NO_ANSWER,133,2025-01-10,{}
LDSMFG_134039,BOT,NO_ANSWER,28,2025-01-28,{}
LDSMFG_180654,BOT,ANSWERED,181,2025-01-03,"{""intent"": ""PTP"", ""sentiment"": ""positive""}"
LDSMFG_117984,BOT,NO_ANSWER,226,2025-01-26,{}
LDSMFG_135728,BOT,ANSWERED,53,2025-01-07,"{""intent"": ""PTP"", ""sentiment"": ""positive""}"
LDSMFG_147477,BOT,NO_ANSWER,35,2025-01-01,{}
LDSMFG_157651,BOT,NO_ANSWER,282,2025-01-05,{}
LDSMFG_158932,BOT,ANSWERED,57,2025-01-28,"{""intent"": ""PTP"", ""sentiment"": ""positive""}"
LDSMFG_105003,BOT,NO_ANSWER,246,2025-01-24,{}
LDSMFG_166048,BOT,BUSY,260,2025-01-11,{}
LDSMFG_101357,BOT,ANSWERED,44,2025-01-25,"{""intent"": ""PTP"", ""sentiment"": ""positive""}"
LDSMFG_150340,BOT,NO_ANSWER,293,2025-01-10,{}
LDSMFG_107824,BOT,NO_ANSWER,26,2025-01-22,{}
LDSMFG_163871,BOT,ANSWERED,239,2025-01-23,"{""intent"": ""PTP"", ""sentiment"": ""positive""}"
LDSMFG_101644,BOT,BUSY,16,2025-01-19,{}
LDSMFG_194716,BOT,NO_ANSWER,286,2025-01-21,{}
LDSMFG_131703,BOT,ANSWERED,296,2025-01-13,"{""intent"": ""PTP"", ""sentiment"": ""positive""}"
LDSMFG_118128,BOT,NO_ANSWER,194,2025-01-30,{}
LDSMFG_138780,BOT,NO_ANSWER,176,2025-01-05,{}
LDSMFG_169384,BOT,ANSWERED,59,2025-01-30,"{""intent"": ""PTP"", ""sentiment"": ""positive""}"
LDSMFG_157228,BOT,NO_ANSWER,28,2025-01-08,{}
LDSMFG_179713,BOT,NO_ANSWER,279,2025-01-04,{}
LDSMFG_174306,BOT,NO_ANSWER,53,2025-01-11,{}
LDSMFG_125638,BOT,NO_ANSWER,6,2025-01-26,{}
LDSMFG_196212,BOT,NO_ANSWER,286,2025-01-03,{}
LDSMFG_116612,BOT,NO_ANSWER,59,2025-01-27,{}
LDSMFG_188857,BOT,NO_ANSWER,119,2025-01-04,{}
LDSMFG_162027,BOT,NO_ANSWER,93,2025-01-09,{}
LDSMFG_138854,BOT,NO_ANSWER,202,2025-01-29,{}
LDSMFG_111004,BOT,ANSWERED,119,2025-01-22,"{""intent"": ""PTP"", ""sentiment"": ""positive""}"
LDSMFG_192072,BOT,ANSWERED,164,2025-01-01,"{""intent"": ""PTP"", ""sentiment"": ""positive""}"
LDSMFG_158650,BOT,ANSWERED,277,2025-01-21,"{""intent"": ""PTP"", ""sentiment"": ""positive""}"
LDSMFG_127052,BOT,NO_ANSWER,292,2025-01-16,{}
LDSMFG_103621,BOT,ANSWERED,88,2025-01-02,"{""intent"": ""PTP"", ""sentiment"": ""positive""}"
LDSMFG_143198,BOT,ANSWERED,23,2025-01-09,{}
LDSMFG_136260,BOT,NO_ANSWER,116,2025-01-25,{}
LDSMFG_163064,BOT,NO_ANSWER,118,2025-01-24,{}
LDSMFG_113367,BOT,ANSWERED,159,2025-01-07,"{""intent"": ""PTP"", ""sentiment"": ""positive""}"
LDSMFG_123929,BOT,NO_ANSWER,273,2025-01-02,{}
LDSMFG_158247,BOT,NO_ANSWER,159,2025-01-21,{}
LDSMFG_194974,BOT,NO_ANSWER,4,2025-01-30,{}
LDSMFG_100077,BOT,NO_ANSWER,116,2025-01-27,{}
LDSMFG_139381,BOT,ANSWERED,155,2025-01-21,"{""intent"": ""PTP"", ""sentiment"": ""positive""}"
LDSMFG_160680,BOT,NO_ANSWER,32,2025-01-26,{}
LDSMFG_108686,BOT,BUSY,40,2025-01-25,{}
LDSMFG_113380,BOT,NO_ANSWER,170,2025-01-12,{}
LDSMFG_101744,BOT,ANSWERED,222,2025-01-24,"{""intent"": ""PTP"", ""sentiment"": ""positive""}"
LDSMFG_155056,BOT,ANSWERED,85,2025-01-16,"{""intent"": ""PTP"", ""sentiment"": ""positive""}"
LDSMFG_105191,BOT,NO_ANSWER,166,2025-01-25,{}
LDSMFG_130062,BOT,NO_ANSWER,234,2025-01-25,{}
LDSMFG_116064,BOT,NO_ANSWER,77,2025-01-11,{}
LDSMFG_109565,BOT,NO_ANSWER,166,2025-01-06,{}
LDSMFG_170085,BOT,ANSWERED,28,2025-01-01,{}
LDSMFG_122986,BOT,ANSWERED,95,2025-01-15,"{""intent"": ""PTP"", ""sentiment"": ""positive""}"
LDSMFG_151142,BOT,NO_ANSWER,18,2025-01-06,{}
LDSMFG_109015,BOT,NO_ANSWER,299,2025-01-18,{}
LDSMFG_191719,BOT,NO_ANSWER,289,2025-01-04,{}
LDSMFG_121400,BOT,NO_ANSWER,168,2025-01-21,{}
LDSMFG_191149,BOT,NO_ANSWER,179,2025-01-20,{}
LDSMFG_129142,BOT,NO_ANSWER,53,2025-01-22,{}
LDSMFG_143301,BOT,ANSWERED,41,2025-01-19,"{""intent"": ""PTP"", ""sentiment"": ""positive""}"
LDSMFG_134606,BOT,ANSWERED,138,2025-01-05,"{""intent"": ""PTP"", ""sentiment"": ""positive""}"
LDSMFG_121083,BOT,NO_ANSWER,254,2025-01-16,{}
LDSMFG_145303,BOT,NO_ANSWER,225,2025-01-27,{}
LDSMFG_156639,BOT,ANSWERED,65,2025-01-27,"{""intent"": ""PTP"", ""sentiment"": ""positive""}"
LDSMFG_141181,BOT,NO_ANSWER,110,2025-01-17,{}
LDSMFG_105449,BOT,BUSY,185,2025-01-07,{}
LDSMFG_123227,BOT,ANSWERED,176,2025-01-01,"{""intent"": ""PTP"", ""sentiment"": ""positive""}"
LDSMFG_148355,BOT,NO_ANSWER,242,2025-01-24,{}
LDSMFG_126793,BOT,BUSY,104,2025-01-19,{}
LDSMFG_159032,BOT,NO_ANSWER,29,2025-01-13,{}
LDSMFG_190158,BOT,NO_ANSWER,292,2025-01-17,{}
LDSMFG_191948,BOT,NO_ANSWER,45,2025-01-02,{}
LDSMFG_147266,BOT,ANSWERED,168,2025-01-19,"{""intent"": ""PTP"", ""sentiment"": ""positive""}"
LDSMFG_170656,BOT,NO_ANSWER,298,2025-01-09,{}
LDSMFG_147527,BOT,NO_ANSWER,28,2025-01-29,{}
LDSMFG_132833,BOT,NO_ANSWER,133,2025-01-28,{}
LDSMFG_121850,BOT,ANSWERED,89,2025-01-26,"{""intent"": ""PTP"", ""sentiment"": ""positive""}"
LDSMFG_148849,BOT,NO_ANSWER,168,2025-01-01,{}
LDSMFG_175591,BOT,NO_ANSWER,17,2025-01-08,{}
LDSMFG_117309,BOT,ANSWERED,27,2025-01-04,{}
LDSMFG_121573,BOT,ANSWERED,271,2025-01-23,"{""intent"": ""PTP"", ""sentiment"": ""positive""}"
LDSMFG_161040,BOT,ANSWERED,228,2025-01-01,"{""intent"": ""PTP"", ""sentiment"": ""positive""}"
LDSMFG_136681,BOT,ANSWERED,132,2025-01-29,"{""intent"": ""PTP"", ""sentiment"": ""positive""}"
LDSMFG_107045,BOT,ANSWERED,266,2025-01-20,"{""intent"": ""PTP"", ""sentiment"": ""positive""}"
LDSMFG_168901,BOT,BUSY,118,2025-01-12,{}
LDSMFG_191925,BOT,ANSWERED,128,2025-01-02,"{""intent"": ""PTP"", ""sentiment"": ""positive""}"
LDSMFG_131664,BOT,NO_ANSWER,124,2025-01-22,{}
LDSMFG_176465,BOT,ANSWERED,209,2025-01-08,"{""intent"": ""PTP"", ""sentiment"": ""positive""}"
LDSMFG_128883,BOT,ANSWERED,9,2025-01-03,{}
LDSMFG_183441,BOT,ANSWERED,219,2025-01-20,"{""intent"": ""PTP"", ""sentiment"": ""positive""}"
LDSMFG_174672,BOT,ANSWERED,186,2025-01-06,"{""intent"": ""PTP"", ""sentiment"": ""positive""}"
LDSMFG_133869,BOT,ANSWERED,293,2025-01-17,"{""intent"": ""PTP"", ""sentiment"": ""positive""}"
LDSMFG_148637,BOT,NO_ANSWER,269,2025-01-23,{}
LDSMFG_105194,BOT,NO_ANSWER,207,2025-01-24,{}
LDSMFG_198916,BOT,NO_ANSWER,45,2025-01-27,{}
LDSMFG_182695,BOT,ANSWERED,225,2025-01-17,"{""intent"": ""PTP"", ""sentiment"": ""positive""}"
LDSMFG_164368,BOT,ANSWERED,67,2025-01-15,"{""intent"": ""PTP"", ""sentiment"": ""positive""}"
LDSMFG_121677,BOT,NO_ANSWER,121,2025-01-15,{}
LDSMFG_152387,BOT,BUSY,199,2025-01-08,{}
LDSMFG_118454,BOT,ANSWERED,287,2025-01-17,"{""intent"": ""PTP"", ""sentiment"": ""positive""}"
LDSMFG_112747,BOT,NO_ANSWER,229,2025-01-29,{}
LDSMFG_170990,BOT,ANSWERED,94,2025-01-23,"{""intent"": ""PTP"", ""sentiment"": ""positive""}"
LDSMFG_135810,BOT,NO_ANSWER,16,2025-01-05,{}
LDSMFG_169281,BOT,NO_ANSWER,100,2025-01-30,{}
LDSMFG_101163,BOT,NO_ANSWER,51,2025-01-24,{}
LDSMFG_170937,BOT,NO_ANSWER,289,2025-01-05,{}
LDSMFG_170270,BOT,NO_ANSWER,50,2025-01-19,{}
LDSMFG_195960,BOT,ANSWERED,216,2025-01-20,"{""intent"": ""PTP"", ""sentiment"": ""positive""}"
LDSMFG_110607,BOT,NO_ANSWER,205,2025-01-11,{}
LDSMFG_164335,BOT,NO_ANSWER,19,2025-01-16,{}
